Scenario_No,Run_No,TT_seg_len,Avg_TT,Avg_TT_CHGV,Max_TT,Max_TT_CHGV,std_TT,std_TT_21,Max_Queue_Len_ramp1,Avg_Queue_Len_ramp1,Std_Queue_ramp1,Max_Queue_Len_freln1,Avg_Queue_freln1,Std_Queue_freln1,Max_Queue_Len_ramp2,Avg_Queue_Len_ramp2,Std_Queue_ramp2,Max_Queue_Len_freln2,Avg_Queue_freln2,Std_Queue_freln2
Scenario5,1,3800,42.6867,43.6009,54.3297,55.4469,2.15736,2.8805,179.137,38.2373,55.1215,127.529,19.7647,32.5643,188.718,55.1968,54.8004,264.593,22.8992,40.7392
Scenario5,2,3800,42.8309,43.7861,48.8615,51.5882,1.83214,2.4793,210.192,49.7862,58.3517,122.691,18.9406,28.6347,193.774,70.4189,60.679,131.607,27.9646,33.7372
Scenario5,3,3800,43.0407,43.8977,51.1547,53.6238,2.02358,2.63645,214.199,56.5426,58.252,117.179,21.2484,28.379,222.378,65.9312,62.4526,97.5585,21.3164,28.8164
Scenario5,4,3800,44.3779,44.9792,53.7154,57.6071,3.20253,4.05602,193.003,68.7855,58.5462,114.881,30.3203,34.4727,261.061,90.2889,70.9528,232.157,53.389,62.8312
Scenario5,5,3800,42.7717,43.6883,47.5278,49.4609,1.46894,2.16914,200.703,60.0381,62.4919,164.171,23.4051,33.5317,284.904,74.6018,70.6499,169.282,28.8374,38.3738
Scenario6,1,5499.95,62.1508,63.7458,71.5903,77.9513,2.60839,3.49222,176.715,37.3889,53.3193,168.575,21.8037,37.4716,179.419,52.5164,55.2922,176.692,27.1974,43.4663
Scenario6,2,5499.95,62.0696,63.464,72.6696,78.2412,2.51566,3.86556,207.77,49.4271,57.8957,106.95,18.2813,27.7535,294.421,84.8735,69.8434,212.538,46.9947,52.6515
Scenario6,3,5499.95,62.5302,64.141,71.4471,75.1942,2.65335,3.73419,211.777,52.0638,59.0197,112.031,20.0662,28.7495,185.01,74.9507,50.5811,123.786,32.2609,33.2477
Scenario6,4,5499.95,62.6712,63.6264,71.5821,73.2694,2.53441,3.67599,190.581,67.6566,58.6223,116.411,28.7926,34.2872,371.511,87.4709,77.9058,289.475,51.6905,66.1343
Scenario6,5,5499.95,61.8814,63.1691,70.362,71.2073,1.9399,2.97195,197.922,59.4139,61.7633,161.585,22.4199,32.8197,237.948,62.2969,68.6865,135.929,26.456,37.6388
Scenario7,1,3800,42.8039,43.596,50.1488,51.6283,2.07829,2.71565,187.458,69.5078,57.0883,126.629,24.3134,27.5212,274.116,86.5504,60.796,364.242,41.3732,60.3723
Scenario7,2,3800,42.9166,43.8284,50.6747,51.0225,1.97519,2.72305,238.398,81.9266,65.8023,179.589,38.1311,40.3907,176.054,79.9281,57.3587,207.29,36.1275,47.9191
Scenario7,3,3800,43.115,44.3117,46.7659,50.8675,1.47794,2.20606,229.444,76.3551,64.4507,140.791,31.6189,35.9101,254.815,90.4481,63.3611,144.587,34.2724,33.3226
Scenario7,4,3800,43.4131,44.5117,49.6186,53.3616,2.04807,2.99792,281.772,111.234,75.3019,166.214,45.0953,42.077,178.58,81.6955,56.4024,270.383,44.388,55.3003
Scenario7,5,3800,43.0856,44.2709,51.2462,54.5719,2.09437,3.09729,239.092,75.5529,62.9196,150.496,31.249,32.2814,272.733,89.9679,66.7501,299.772,42.0672,55.1538
Scenario8,1,5499.95,62.0774,63.8076,68.0331,74.0826,2.21412,3.66037,185.036,70.0546,56.9145,93.6141,22.4614,25.0251,206.01,78.2311,60.1076,270.336,42.6685,60.1
Scenario8,2,5499.95,62.0977,64.0521,69.7771,76.6622,2.33023,4.08827,235.976,82.5847,64.7769,165.552,38.3491,39.5508,213.956,103.218,56.4452,369.575,58.6415,68.1359
Scenario8,3,5499.95,62.3048,64.2795,67.9102,80.8936,2.02889,3.86891,227.022,74.4874,61.1247,138.205,31.1616,35.3803,254.949,91.2715,59.0343,225.781,53.0413,58.3098
Scenario8,4,5499.95,63.0718,65.179,69.7422,78.0825,2.65092,4.5256,279.35,112.219,75.8116,215.581,50.1463,48.8909,336.101,92.6621,82.6472,224.963,48.5637,57.4521
Scenario8,5,5499.95,62.0896,63.9313,73.5468,76.6684,2.39696,3.68983,236.67,77.8134,64.5465,99.3522,29.9147,30.0731,254.802,106.283,67.0257,803.125,59.8398,110.248
Scenario9,1,3800,42.9977,44.0584,57.7263,56.5883,2.84032,4.18043,116.222,20.8084,35.4222,102.529,7.74515,18.357,176.426,50.5389,49.7128,414.043,29.7577,65.1683
Scenario9,2,3800,42.4928,42.7594,48.4485,49.5371,1.5263,2.25356,171.922,42.9525,48.5051,143.529,13.9923,26.2299,178.373,39.5264,51.7399,105.032,18.2803,28.2028
Scenario9,3,3800,43.2291,43.6352,52.9114,54.6435,2.55052,3.79861,167.126,25.153,41.3641,121.743,10.5539,24.427,173.441,37.0932,50.2397,79.6551,15.0396,25.9306
Scenario9,4,3800,43.2355,44.1723,51.2352,53.4,2.19902,3.92487,166.777,33.8456,48.0498,103.135,14.0918,25.6011,185.786,46.8751,48.1077,162.788,19.5394,30.9185
Scenario9,5,3800,42.9568,43.4579,55.6347,56.0768,2.66943,3.33029,138.596,36.6087,46.2686,146.24,18.3701,31.71,208.887,44.5344,56.1376,264.049,31.7053,57.9882
Scenario10,1,5499.95,62.4855,63.8399,72.8548,73.879,3.18983,5.14076,169.95,22.1907,39.6685,80.654,7.75974,17.8622,226.357,62.0461,69.1819,241.507,28.7009,49.3554
